iter	Passed	Remaining
293	3028	7272
294	3043	7272
295	3055	7267
296	3067	7260
297	3076	7248
298	3086	7236
299	3095	7221
300	3106	7213
301	3118	7206
302	3129	7199
303	3139	7187
304	3151	7180
305	3161	7171
306	3171	7158
307	3181	7148
308	3191	7137
309	3204	7131
310	3214	7120
311	3225	7112
312	3234	7100
313	3247	7095
314	3258	7085
315	3269	7078
316	3281	7071
317	3297	7071
318	3309	7065
319	3319	7052
320	3333	7051
321	3345	7043
322	3358	7039
323	3366	7024
324	3381	7022
325	3393	7016
326	3405	7009
327	3417	7002
328	3429	6994
329	3439	6984
330	3449	6972
331	3462	6967
332	3476	6962
333	3486	6951
334	3495	6939
335	3504	6925
336	3512	6911
337	3522	6898
338	3534	6892
339	3548	6887
340	3560	6879
341	3570	6869
342	3583	6863
343	3596	6858
344	3607	6849
345	3616	6835
346	3626	6824
347	3638	6816
348	3649	6807
349	3659	6795
350	3666	6780
351	3678	6771
352	3686	6756
353	3695	6744
354	3704	6731
355	3713	6717
356	3721	6703
357	3729	6688
358	3741	6681
359	3749	6666
360	3758	6652
361	3767	6640
362	3778	6630
363	3789	6621
364	3798	6607
365	3805	6592
366	3814	6579
367	3822	6565
368	3833	6555
369	3843	6544
370	3854	6535
371	3864	6523
372	3875	6514
373	3883	6500
374	3894	6491
375	3904	6479
376	3913	6466
377	3926	6460
378	3942	6460
379	3954	6452
380	3967	6446
381	3978	6436
382	3987	6424
383	3999	6415
384	4008	6402
385	4017	6390
386	4026	6377
387	4033	6361
388	4042	6349
389	4052	6337
390	4061	6325
391	4070	6312
392	4077	6297
393	4084	6282
394	4097	6275
395	4105	6262
396	4116	6251
397	4132	6251
398	4144	6242
399	4156	6234
400	4169	6227
401	4178	6215
402	4187	6202
403	4196	6190
404	4210	6185
405	4223	6179
406	4233	6167
407	4241	6154
408	4254	6148
409	4265	6137
410	4272	6122
411	4279	6107
412	4287	6094
413	4299	6085
414	4308	6073
415	4319	6064
416	4330	6054
417	4343	6048
418	4356	6040
419	4365	6029
420	4374	6016
421	4385	6006
422	4394	5994
423	4402	5980
424	4412	5969
425	4425	5962
426	4437	5954
427	4448	5945
428	4461	5937
429	4468	5923
430	4478	5912
431	4491	5905
432	4504	5899
433	4514	5887
434	4527	5880
435	4538	5870
436	4550	5862
437	4560	5851
438	4572	5843
439	4584	5835
440	4592	5821
441	4600	5808
442	4608	5794
443	4617	5782
444	4624	5768
445	4632	5753
446	4643	5744
447	4653	5733
448	4664	5724
449	4675	5714
450	4684	5702
451	4695	5692
452	4705	5681
453	4714	5670
454	4724	5658
455	4733	5647
456	4741	5633
457	4751	5623
458	4762	5613
459	4776	5607
460	4788	5598
461	4798	5588
462	4808	5577
463	4819	5566
464	4831	5558
465	4841	5547
466	4852	5537
467	4862	5528
468	4872	5517
469	4884	5507
470	4894	5497
471	4904	5486
472	4915	5476
473	4923	5463
474	4932	5451
475	4941	5439
476	4948	5425
477	4957	5413
478	4968	5404
479	4979	5393
480	4989	5384
481	5001	5374
482	5011	5363
483	5021	5353
484	5031	5342
485	5039	5330
486	5050	5319
487	5061	5310
488	5072	5300
489	5082	5289
490	5095	5282
491	5108	5274
492	5119	5264
493	5128	5253
494	5141	5245
495	5150	5233
496	5160	5223
497	5170	5211
498	5184	5205
499	5196	5196
500	5207	5186
501	5221	5179
502	5231	5168
503	5241	5157
504	5250	5146
505	5262	5138
506	5272	5127
507	5285	5119
508	5296	5109
509	5308	5100
510	5321	5092
511	5333	5083
512	5342	5071
513	5349	5058
514	5356	5044
515	5364	5032
516	5372	5019
517	5383	5009
518	5392	4998
519	5407	4991
520	5418	4982
521	5427	4969
522	5435	4957
523	5446	4947
524	5460	4940
525	5469	4928
526	5478	4917
527	5489	4907
528	5499	4896
529	5511	4887
530	5523	4878
531	5534	4868
532	5548	4861
533	5560	4852
534	5568	4839
535	5578	4829
536	5591	4820
537	5599	4808
538	5609	4797
539	5617	4785
540	5625	4773
541	5635	4762
542	5646	4752
543	5663	4747
544	5676	4738
545	5690	4731
546	5700	4721
547	5708	4708
548	5717	4696
549	5725	4684
550	5734	4672
551	5742	4660
552	5750	4648
553	5758	4635
554	5767	4624
555	5776	4612
556	5786	4602
557	5797	4592
558	5808	4582
559	5818	4571
560	5827	4560
561	5839	4551
562	5848	4539
563	5859	4529
564	5868	4518
565	5877	4506
566	5887	4495
567	5894	4483
568	5904	4472
569	5912	4460
570	5920	4448
571	5928	4435
572	5935	4422
573	5942	4410
574	5950	4398
575	5958	4386
576	5967	4375
577	5975	4363
578	5987	4353
579	5996	4342
580	6006	4331
581	6014	4319
582	6025	4309
583	6035	4299
584	6047	4290
585	6057	4279
586	6069	4270
587	6088	4266
588	6101	4257
589	6112	4247
590	6123	4237
591	6139	4231
592	6160	4228
593	6183	4226
594	6202	4222
595	6216	4213
596	6230	4205
597	6248	4200
598	6264	4193
599	6286	4190
600	6305	4186
601	6357	4203
602	6391	4208
603	6424	4211
604	6446	4209
605	6456	4197
606	6467	4187
607	6478	4177
608	6491	4167
609	6504	4158
610	6515	4148
611	6524	4136
612	6536	4126
613	6546	4115
614	6560	4106
615	6574	4098
616	6590	4091
617	6610	4086
618	6633	4083
619	6662	4083
620	6677	4075
621	6699	4071
622	6717	4064
623	6736	4059
624	6758	4055
625	6807	4067
626	6932	4123
627	6970	4129
628	6988	4121
629	7012	4118
630	7028	4110
631	7064	4113
632	7089	4110
633	7116	4108
634	7145	4106
635	7161	4098
636	7177	4090
637	7192	4081
638	7211	4073
639	7228	4065
640	7243	4057
641	7259	4047
642	7274	4039
643	7290	4030
644	7309	4023
645	7324	4013
646	7336	4002
647	7353	3994
648	7363	3982
649	7373	3970
650	7382	3957
651	7391	3944
652	7401	3932
653	7410	3920
654	7421	3908
655	7429	3896
656	7439	3883
657	7451	3873
658	7462	3861
659	7473	3849
660	7484	3838
661	7493	3826
662	7508	3816
663	7524	3807
664	7535	3795
665	7573	3798
666	7586	3787
667	7599	3776
668	7617	3768
669	7631	3758
670	7648	3750
671	7663	3740
672	7675	3729
673	7688	3718
674	7700	3707
675	7712	3696
676	7727	3686
677	7738	3675
678	7752	3664
679	7765	3654
680	7774	3641
681	7785	3630
682	7794	3617
683	7805	3606
684	7820	3596
685	7833	3585
686	7846	3574
687	7857	3563
688	7867	3551
689	7873	3537
690	7883	3525
691	7890	3512
692	7899	3499
693	7910	3487
694	7924	3477
695	7932	3464
696	7943	3453
697	7953	3441
698	7964	3429
699	7972	3416
700	7980	3404
701	7990	3392
702	8002	3380
703	8011	3368
704	8021	3356
705	8030	3344
706	8039	3331
707	8048	3319
708	8057	3307
709	8068	3295
710	8078	3283
711	8089	3272
712	8100	3260
713	8111	3249
714	8120	3236
715	8131	3225
716	8140	3212
717	8150	3201
718	8158	3188
719	8167	3176
720	8177	3164
721	8189	3153
722	8199	3141
723	8210	3129
724	8219	3117
725	8230	3106
726	8241	3094
727	8251	3083
728	8263	3071
729	8272	3059
730	8284	3048
731	8294	3036
732	8302	3024
733	8311	3012
734	8321	3000
735	8330	2988
736	8340	2976
737	8350	2964
738	8362	2953
739	8370	2940
740	8378	2928
741	8386	2916
742	8396	2904
743	8406	2892
744	8415	2880
745	8426	2869
746	8436	2857
747	8445	2845
748	8456	2833
749	8466	2822
750	8476	2810
751	8485	2798
752	8496	2787
753	8507	2775
754	8517	2763
755	8526	2751
756	8538	2740
757	8548	2729
758	8561	2718
759	8571	2706
760	8580	2694
761	8591	2683
762	8603	2672
763	8613	2660
764	8623	2649
765	8635	2637
766	8644	2626
767	8652	2613
768	8660	2601
769	8670	2589
770	8678	2577
771	8686	2565
772	8693	2553
773	8704	2541
774	8714	2530
775	8728	2519
776	8738	2508
777	8749	2496
778	8761	2485
779	8770	2473
780	8778	2461
781	8789	2450
782	8801	2439
783	8812	2428
784	8825	2417
785	8833	2404
786	8843	2393
787	8853	2381
788	8865	2370
789	8874	2358
790	8883	2347
791	8897	2336
792	8907	2325
793	8917	2313
794	8925	2301
795	8935	2290
796	8943	2278
797	8950	2265
798	8961	2254
799	8971	2242
800	8980	2231
801	8989	2219
802	8998	2207
803	9025	2200
804	9036	2188
805	9044	2176
806	9052	2165
807	9064	2153
808	9073	2142
809	9084	2130
810	9092	2118
811	9105	2108
812	9117	2097
813	9125	2085
814	9135	2073
815	9145	2062
816	9153	2050
817	9161	2038
818	9168	2026
819	9177	2014
820	9186	2002
821	9197	1991
822	9206	1980
823	9217	1968
824	9233	1958
825	9248	1948
826	9259	1937
827	9271	1925
828	9283	1914
829	9294	1903
830	9303	1892
831	9315	1881
832	9325	1869
833	9334	1858
834	9346	1846
835	9359	1835
836	9369	1824
837	9380	1813
838	9389	1801
839	9400	1790
840	9413	1779
841	9431	1769
842	9442	1758
843	9455	1747
844	9466	1736
845	9475	1724
846	9486	1713
847	9595	1720
848	9625	1712
849	9636	1700
850	9643	1688
851	9653	1676
852	9661	1665
853	9670	1653
854	9680	1641
855	9688	1629
856	9696	1617
857	9707	1606
858	9717	1595
859	9724	1583
860	9736	1571
861	9744	1559
862	9753	1548
863	9761	1536
864	9770	1524
865	9781	1513
866	9791	1502
867	9801	1490
868	9811	1479
869	9818	1467
870	9828	1455
871	9836	1443
872	9844	1432
873	9851	1420
874	9860	1408
875	9871	1397
876	9879	1385
877	9890	1374
878	9899	1362
879	9907	1350
880	9914	1339
881	9921	1327
882	9928	1315
883	9936	1303
884	9942	1291
885	9950	1280
886	9959	1268
887	9966	1257
888	9975	1245
889	9983	1233
890	9990	1222
891	10000	1210
892	10008	1199
893	10015	1187
894	10025	1176
895	10037	1165
896	10044	1153
897	10054	1142
898	10063	1130
899	10070	1118
900	10081	1107
901	10089	1096
902	10117	1086
903	10128	1075
904	10139	1064
905	10151	1053
906	10164	1042
907	10178	1031
908	10195	1020
909	10204	1009
910	10214	997
911	10226	986
912	10238	975
913	10252	964
914	10264	953
915	10275	942
916	10285	930
917	10295	919
918	10304	908
919	10316	897
920	10329	885
921	10340	874
922	10350	863
923	10359	852
924	10369	840
925	10381	829
926	10395	818
927	10406	807
928	10417	796
929	10430	785
930	10441	773
931	10452	762
932	10462	751
933	10472	740
934	10484	728
935	10497	717
936	10507	706
937	10519	695
938	10531	684
939	10541	672
940	10550	661
941	10563	650
942	10573	639
943	10581	627
944	10593	616
945	10602	605
946	10614	594
947	10626	582
948	10636	571
949	10649	560
950	10659	549
951	10668	537
952	10678	526
953	10691	515
954	10700	504
955	10710	492
956	10722	481
957	10729	470
958	10737	459
959	10744	447
960	10752	436
961	10759	425
962	10769	413
963	10776	402
964	10787	391
965	10799	380
966	10808	368
967	10820	357
968	10833	346
969	10843	335
970	10854	324
971	10861	312
972	10869	301
973	10878	290
974	10888	279
975	10900	268
976	10908	256
977	10916	245
978	10927	234
979	10937	223
980	10944	211
981	10952	200
982	10961	189
983	10968	178
984	10976	167
985	10984	155
986	10994	144
987	11002	133
988	11012	122
989	11021	111
990	11028	100
991	11037	89
992	11045	77
993	11057	66
994	11066	55
995	11074	44
996	11081	33
997	11089	22
998	11097	11
999	11106	0
